id,nama,alamat,cluster,mitra_ad_cluster,region_channel,provinsi,kabupaten,kecamatan,kelurahan,kode_pos,call_center,email,longitude,latitude,created_at,updated-at
,TAP DAYAMURNI,DAYAMURNI,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,DAYAMURNI,,,,85368959999,RAHMAT HIDAYAT,105.1069,-4.62254,,
,TAP PALEMBANG 1,PALEMBANG 1,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,PALEMBANG 1,,,,81271371717,LUKI CATUR WITJAKSONO,104.7346173,-2.9702515,,
,TAP PALEMBANG 2,PALEMBANG 2,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,PALEMBANG 2,,,,85267700852,PARZI,104.7852423,-2.9904514,,
,TAP PRABUMULIH,PRABUMULIH,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,PRABUMULIH,,,,85269223110,MUHAMMAD IKHWAN POLANUNU,104.25478,-3.418612,,
,TAP INDRALAYA,INDRALAYA,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,INDRALAYA,,,,85266699878,BAYU PUTRA PRATAMA BASDAFA,104.6579907,-3.245111,,
,TAP GELUMBANG,GELUMBANG,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,GELUMBANG,,,,811744228,FRANSWIJAYA SIREGAR,104.2650042,-3.2137404,,
,TAP PAYARAMAN,PAYARAMAN,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,PAYARAMAN,,,,81272241000,AGUNG SETYANTO PRIHATMOJO,104.6034703,-3.3574905,,
,TAP PALI,PALI,BUMI SRIWIJAYA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,PALI,,,,85369426108,MUHAMMAD IKHWAN POLANUNU,104.2594177,-3.2285539,,
,TAP LUBUKLINGGAU,LUBUKLINGGAU,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,LUBUKLINGGAU,,,,82372091111,IRFANI,102.89315,-3.279591,,
,TAP LAHAT,LAHAT,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,LAHAT,,,,85380051986,ROMMY MEIZANDI,103.55769,-3.785674,,
,TAP MUARA ENIM,MUARA ENIM,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,MUARA ENIM,,,,85266656666,BUDI ISKANDAR,103.76848,-3.660975,,
,TAP PAGAR ALAM,PAGAR ALAM,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,PAGAR ALAM,,,,85208630000,AGUS SUPRIYADI,103.25384,-4.022532,,
,TAP MUSIRAWAS UTARA,MUSIRAWAS UTARA,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,MUSIRAWAS UTARA,,,,82372091111,M.RIZKY FEBRIANSYAH,103.02068,-3.041881,,
,TAP MUSIRAWAS,MUSIRAWAS,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,MUSIRAWAS,,,,85266656666,ANDRIAN GUNTUR,102.91111,-2.711565,,
,TAP EMPAT LAWANG,EMPAT LAWANG,MUSI RAWAS,CV. SINAR TELEKOM,SUMBAGSEL,SUMATERA SELATAN,EMPAT LAWANG,,,,85208630000,PERLI,103.08734,-3.595315,,
,TAP KEDATON,KEDATON,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,KEDATON,,,,82179907990,BAIDI JOHARI,105.26152,-5.398857,,
,TAP TELUK BETUNG,TELUK BETUNG,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,TELUK BETUNG,,,,82178577539,MUHAJIRIN,105.26623,-5.441733,,
,TAP KALIANDA,KALIANDA,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,KALIANDA,,,,82372300300,FARID FURGHONI ,105.59294,-5.730121,,
,TAP NATAR,NATAR,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,NATAR,,,,85269399998,MUAMAR,105.19428,-5.309297,,
,TAP TANJUNG BINTANG,TANJUNG BINTANG,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,TANJUNG BINTANG,,,,82377788999,SUBUR SANTOSO,105.41734,-5.422254,,
,TAP PRINGSEWU,PRINGSEWU,BANDAR LAMPUNG,PT. GOLDEN COMMUNICATION,SUMBAGSEL,SUMATERA SELATAN,PRINGSEWU,,,,85369888999,HERI MULYADI,104.98391,-5.357135,,
,TAP PANGKAL PINANG,PANGKAL PINANG,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,PANGKAL PINANG,,,,85377312345,YAHYA BUDIMAN,106.40404,-2485545,,
,TAP KOBA,KOBA,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,KOBA,,,,85208131990,ERWIN NANDES,106.404245,-2.48577,,
,TAP TOBOALI,TOBOALI,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,TOBOALI,,,,81273083333,HENDRA KURNIAWAN,106.46236,-3.007524,,
,TAP TANJUNGPANDAN,TANJUNGPANDAN,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,TANJUNGPANDAN,,,,85273527352,MUKMIN SALAHUDIN,107.64472,-2.736697,,
,TAP MANGGAR,MANGGAR,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,MANGGAR,,,,82281722222,ARI ISWADI,108.278785,-2.873783,,
,TAP SUNGAI LIAT,SUNGAI LIAT,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,SUNGAI LIAT,,,,8117372244,PUTRA ZHATI,106.11452,-1.849423,,
,TAP JEBUS,JEBUS,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,JEBUS,,,,82371886000,REKA DIANSYAH,105.49738,-1.679241,,
,TAP MUNTOK,MUNTOK,BANGKA BELITUNG,PT. SELULAR MEDIA INFOTAMA,SUMBAGSEL,SUMATERA SELATAN,MUNTOK,,,,8117999919,EKY PERMANA,105.18769,-2.045409,,
